tranche_horaire,ref,libelle_gare_montee,flux_enquete,flux_normalized
de 07:00:00 à 07:59:59,PR/0087-381889-00,Herblay,82.87,0.49748587745980505
de 07:00:00 à 07:59:59,PR/0087-386409-00,Houilles Carrières sur Seine,81.58,0.4894779315910361
de 07:00:00 à 07:59:59,PR/0087-381574-00,Issou Porcheville,2.73,0.0
de 07:00:00 à 07:59:59,PR/0087-381558-00,Juziers,4.23,0.0093115649636849
de 07:00:00 à 07:59:59,PR/0087-381871-00,La Frette Montigny,36.04,0.20677881929356262
de 07:00:00 à 07:59:59,PR/0087-381202-00,La Villetertre,6.0,0.020299211620833077
de 07:00:00 à 07:59:59,PR/0087-381095-00,Le Stade,66.57,0.39630020485442913
de 07:00:00 à 07:59:59,PR/0087-381798-00,Le Val d'Argenteuil,110.58,0.6695015208889441
de 07:00:00 à 07:59:59,PR/0087-386664-00,Les Clairières de Verneuil,42.32,0.24576323794152338
de 07:00:00 à 07:59:59,PR/0087-386680-BV,Les Mureaux,163.82,1.0
de 07:00:00 à 07:59:59,PR/0087-381210-00,Liancourt St Pierre,7.0,0.026506921596623004
de 07:00:00 à 07:59:59,PR/0087-381582-BV,Limay,4.56,0.011360109255695573
de 07:00:00 à 07:59:59,PR/0087-381590-00,Mantes Station,11.48,0.054317462288161894
de 07:00:00 à 07:59:59,PR/0087-381509-BV,Mantes la Jolie,22.18,0.12073995902911415
de 07:00:00 à 07:59:59,PR/0087-381483-00,Maurecourt,21.29,0.11521509715066112
de 07:00:00 à 07:59:59,PR/0087-381830-BV,Meulan Hardricourt,6.47,0.023216835309454342
de 07:00:00 à 07:59:59,PR/0087-381160-00,Montgeroult Courcelles,8.25,0.03426655906636042
de 07:00:00 à 07:59:59,PR/0087-381145-00,Osny,14.55,0.07337513191383699
de 07:00:00 à 07:59:59,PR/0087-384008-00,Paris St Lazare,70.06,0.4179651126699361
de 07:00:00 à 07:59:59,PR/0087-386573-BV,Poissy,115.97,0.7029610776584518
